,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL
0,FUTIDX,BANKNIFTY,30-Dec-2025,0,XX,N,59605.4,60165.6,58900.0,60068.2,60082.4,60031.8,60068.2,482265,28965090679,1575245,37765,35,28-Nov-2025,2025-11-27T18:30:00.000+00:00,59752.7,28965090679
1,FUTIDX,BANKNIFTY,30-Dec-2025,0,XX,N,59889.8,60164.0,59762.4,60031.8,60066.8,59817.2,60031.8,929950,55775221061,1537480,98805,35,27-Nov-2025,2025-11-26T18:30:00.000+00:00,59737.3,55775221061
2,FUTIDX,BANKNIFTY,30-Dec-2025,0,XX,N,59300.0,59891.0,59265.0,59817.2,59835.0,59139.6,59817.2,1099805,65657105066,1438675,112630,35,26-Nov-2025,2025-11-25T18:30:00.000+00:00,59528.05,65657105066
3,FUTIDX,BANKNIFTY,30-Dec-2025,0,XX,N,59229.0,59449.0,59065.0,59139.6,59159.4,59244.8,59139.6,1094450,64849749104,1326045,331800,35,25-Nov-2025,2025-11-24T18:30:00.000+00:00,58820.3,64849749104
